code,name,grade,size,length,unit,price_per_kg,stock_qty,min_stock,category
TFB15SD40DB12L10M,Deformed bar,SD40,DB12,10,Kg.,,,,DB-40
TFB15SD40DB12L12M,Deformed bar,SD40,DB12,12,Kg.,,,,DB-40
TFB15SD40DB16L10M,Deformed bar,SD40,DB16,10,Kg.,,,,DB-40
TFB15SD40DB16L12M,Deformed bar,SD40,DB16,12,Kg.,,,,DB-40
TFB15SD40DB20L10M,Deformed bar,SD40,DB20,10,Kg.,,,,DB-40
TFB15SD40DB20L12M,Deformed bar,SD40,DB20,12,Kg.,,,,DB-40
TFB15SD40DB25L10M,Deformed bar,SD40,DB25,10,Kg.,,,,DB-40
TFB15SD40DB25L12M,Deformed bar,SD40,DB25,12,Kg.,,,,DB-40
TFB15SD40DB28L10M,Deformed bar,SD40,DB28,10,Kg.,,,,DB-40
TFB15SD40DB28L12M,Deformed bar,SD40,DB28,12,Kg.,,,,DB-40
TFB15SD40DB32L10M,Deformed bar,SD40,DB32,10,Kg.,,,,DB-40
TFB15SD40DB32L12M,Deformed bar,SD40,DB32,12,Kg.,,,,DB-40
TFB15SD40TDB12L10M,Deformed bar,SD40T,DB12,10,Kg.,,,,DB-40T
TFB15SD40TDB12L12M,Deformed bar,SD40T,DB12,12,Kg.,,,,DB-40T
TFB15SD40TDB16L10M,Deformed bar,SD40T,DB16,10,Kg.,,,,DB-40T
TFB15SD40TDB16L12M,Deformed bar,SD40T,DB16,12,Kg.,,,,DB-40T
TFB15SD40TDB20L10M,Deformed bar,SD40T,DB20,10,Kg.,,,,DB-40T
TFB15SD40TDB20L12M,Deformed bar,SD40T,DB20,12,Kg.,,,,DB-40T
TFB15SD40TDB25L10M,Deformed bar,SD40T,DB25,10,Kg.,,,,DB-40T
TFB15SD40TDB25L12M,Deformed bar,SD40T,DB25,12,Kg.,,,,DB-40T
TFB15SD40TDB28L10M,Deformed bar,SD40T,DB28,10,Kg.,,,,DB-40T
TFB15SD40TDB28L12M,Deformed bar,SD40T,DB28,12,Kg.,,,,DB-40T
TFB15SD50DB12L10M,Deformed bar,SD50,DB12,10,Kg.,,,,SD50
TFB15SD50DB12L12M,Deformed bar,SD50,DB12,12,Kg.,,,,SD50
TFB15SD50DB16L10M,Deformed bar,SD50,DB16,10,Kg.,,,,SD50
TFB15SD50DB16L12M,Deformed bar,SD50,DB16,12,Kg.,,,,SD50
TFB15SD50DB20L10M,Deformed bar,SD50,DB20,10,Kg.,,,,SD50
TFB15SD50DB20L12M,Deformed bar,SD50,DB20,12,Kg.,,,,SD50
TFB15SD50DB25L10M,Deformed bar,SD50,DB25,10,Kg.,,,,SD50
TFB15SD50DB25L12M,Deformed bar,SD50,DB25,12,Kg.,,,,SD50
TFB15SD50DB28L10M,Deformed bar,SD50,DB28,10,Kg.,,,,SD50
TFB15SD50DB28L12M,Deformed bar,SD50,DB28,12,Kg.,,,,SD50
TFB15SD50DB32L10M,Deformed bar,SD50,DB32,10,Kg.,,,,SD50
TFB15SD50DB32L12M,Deformed bar,SD50,DB32,12,Kg.,,,,SD50
TFB15SD50TDB20L10M,Deformed bar,SD50T,DB20,10,Kg.,,,,SD50T
TFB15SD50TDB20L12M,Deformed bar,SD50T,DB20,12,Kg.,,,,SD50T
TFB15SD50TDB25L10M,Deformed bar,SD50T,DB25,10,Kg.,,,,SD50T
TFB15SD50TDB25L12M,Deformed bar,SD50T,DB25,12,Kg.,,,,SD50T
TFB15SD50TDB28L10M,Deformed bar,SD50T,DB28,10,Kg.,,,,SD50T
TFB15SD50TDB28L12M,Deformed bar,SD50T,DB28,12,Kg.,,,,SD50T
TFB15SD50TDB32L10M,Deformed bar,SD50T,DB32,10,Kg.,,,,SD50T
TFB15SD50TDB32L12M,Deformed bar,SD50T,DB32,12,Kg.,,,,SD50T
TFB15SD50TDB40L10M,Deformed bar,SD50T,DB40,10,Kg.,,,,SD50T
TFB15SD50TDB40L12M,Deformed bar,SD50T,DB40,12,Kg.,,,,SD50T
TFB15SD40DB12L6-10M,Deformed bar,SD40,DB12,10,Kg.,,,,SHORT
TFB15SD40DB16L6-10M,Deformed bar,SD40,DB16,12,Kg.,,,,SHORT
TFB15SD40DB20L6-10M,Deformed bar,SD40,DB20,10,Kg.,,,,SHORT
TFB15SD40DB25L6-10M,Deformed bar,SD40,DB25,12,Kg.,,,,SHORT
TFB15SD40DB28L6-10M,Deformed bar,SD40,DB28,10,Kg.,,,,SHORT
TFB15SD40DB32L6-10M,Deformed bar,SD40,DB32,12,Kg.,,,,SHORT
TFB15SD40TDB12L6-10M,Deformed bar,SD40T,DB12,6-10 m.,Kg.,,,,SHORT
TFB15SD40TDB16L6-10M,Deformed bar,SD40T,DB16,6-10 m.,Kg.,,,,SHORT
TFB15SD40TDB20L6-10M,Deformed bar,SD40T,DB20,6-10 m.,Kg.,,,,SHORT
TFB15SD40TDB25L6-10M,Deformed bar,SD40T,DB25,6-10 m.,Kg.,,,,SHORT
TFB15SD40TDB28L6-10M,Deformed bar,SD40T,DB28,6-10 m.,Kg.,,,,SHORT
TFB15SD50DB12L6-10M,Deformed bar,SD50,DB12,6-10 m.,Kg.,,,,SHORT
TFB15SD50DB16L6-10M,Deformed bar,SD50,DB16,6-10 m.,Kg.,,,,SHORT
TFB15SD50DB20L6-10M,Deformed bar,SD50,DB20,6-10 m.,Kg.,,,,SHORT
TFB15SD50DB25L6-10M,Deformed bar,SD50,DB25,6-10 m.,Kg.,,,,SHORT
TFB15SD50DB28L6-10M,Deformed bar,SD50,DB28,6-10 m.,Kg.,,,,SHORT
TFB15SD50DB32L6-10M,Deformed bar,SD50,DB32,6-10 m.,Kg.,,,,SHORT
TFB15SD50TDB12L6-10M,Deformed bar,SD50T,DB12,6-10 m.,Kg.,,,,SHORT
TFB15SD50TDB16L6-10M,Deformed bar,SD50T,DB16,6-10 m.,Kg.,,,,SHORT
TFB15SD50TDB20L6-10M,Deformed bar,SD50T,DB20,6-10 m.,Kg.,,,,SHORT
TFB15SD50TDB25L6-10M,Deformed bar,SD50T,DB25,6-10 m.,Kg.,,,,SHORT
TFB15SD50TDB28L6-10M,Deformed bar,SD50T,DB28,6-10 m.,Kg.,,,,SHORT
TFB15SD50TDB32L6-10M,Deformed bar,SD50T,DB32,6-10 m.,Kg.,,,,SHORT
TFB15SD50TDB40L6-10M,Deformed bar,SD50T,DB40,6-10 m.,Kg.,,,,SHORT
